"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","question_order"
"4993","<p>In this experiment, you will see 3 visualizations, each for 10 seconds.</p> <p> You need to remember the data fact <b>highlighted with annotation</b>, and try to recall it.</p>","0","html-button-response","0","5002","0.0-0.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"3077","","{""Q0"":""durian""}","survey-multi-choice","1","8084","0.0-1.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"1072","<p>Great! You passed the attention check. Now let's begin!</p>","0","html-button-response","2","9162","0.0-2.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Filter-Bar-Line.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","3","19165","0.0-3.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart488.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","4","29178","0.0-4.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart290.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","5","39186","0.0-5.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"11058","","{""Q0"":""The number of mobile customers in UK drops below 30 million from 2018 to 2019.""}","survey-multi-choice","6","50249","0.0-6.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"null","<img src=""chart486.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","7","60270","0.0-7.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Range-Bar-Opacity.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","8","70275","0.0-8.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart224.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","9","80283","0.0-9.0","18","1","2024-06-25 16:36:35","327d8d61a69a55b6203573ad19e3ab64","65.29.168.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
