"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","question_order"
"10118","<p>In this experiment, you will see 3 visualizations, each for 10 seconds.</p> <p> You need to remember the data fact <b>highlighted with annotation</b>, and try to recall it.</p>","0","html-button-response","0","10121","0.0-0.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"3869","","{""Q0"":""durian""}","survey-multi-choice","1","13992","0.0-1.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"1345","<p>Great! You passed the attention check. Now let's begin!</p>","0","html-button-response","2","15340","0.0-2.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart167.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","3","25351","0.0-3.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Filter-Bar-Color.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","4","35354","0.0-4.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart548.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","5","45356","0.0-5.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"15248","","{""Q0"":""The number of mobile customers in UK drops below 30 million from 2018 to 2019.""}","survey-multi-choice","6","60607","0.0-6.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"null","<img src=""chart561.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","7","70611","0.0-7.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Range-Bar-Bound.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","8","80613","0.0-8.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart557.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","9","90616","0.0-9.0","10","1","2024-06-25 16:28:53","327d8d61a69a55b6203573ad19e3ab64","50.158.214.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","WebKit","Chrome","124.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
